title,Cu,series,x,y
y-axis,Leaching ratio(%),25℃ 2%NH₃-1.2%CO₂,15,4.985605666
x-axis,time(min),25℃ 7%NH₃-4.2%CO₂,30,5.953127456
,,25℃ 15%NH₃-9%CO₂,60,7.895685695
,,50℃ 2%NH₃-1.2%CO₂,90,8.067056084
,,50℃ 7%NH₃-4.2%CO₂,120,8.14512305
,,50℃ 15%NH₃-9%CO₂,,14.35091202
,,,,17.41136256
,,,,22.73386645
,,,,25.96519437
,,,,26.69278859
,,,,15.39088921
,,,,20.29598788
,,,,24.65308538
,,,,29.2945122
,,,,28.68523826
,,,,7.721477257
,,,,9.068896321
,,,,10.22081466
,,,,10.61350159
,,,,10.90360737
,,,,23.62274998
,,,,30.56614649
,,,,35.93806027
,,,,36.35528961
,,,,37.39141186
,,,,27.33436551
,,,,31.46182681
,,,,41.95836567
,,,,46.83289078
,,,,46.20824672
